start_time,end_time,price,rin_id,rate_name
2024-03-21 12:00:00-07:00,2024-03-21 12:59:59-07:00,0.421,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 12:00:00-07:00,2024-03-21 12:59:59-07:00,0.421,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 13:00:00-07:00,2024-03-21 13:59:59-07:00,0.402,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 13:00:00-07:00,2024-03-21 13:59:59-07:00,0.402,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 14:00:00-07:00,2024-03-21 14:59:59-07:00,0.437,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 14:00:00-07:00,2024-03-21 14:59:59-07:00,0.437,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 15:00:00-07:00,2024-03-21 15:59:59-07:00,0.425,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 15:00:00-07:00,2024-03-21 15:59:59-07:00,0.425,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 16:00:00-07:00,2024-03-21 16:59:59-07:00,0.431,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 16:00:00-07:00,2024-03-21 16:59:59-07:00,0.431,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 16:00:00-07:00,2024-03-21 16:59:59-07:00,0.431,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 17:00:00-07:00,2024-03-21 17:59:59-07:00,0.433,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 17:00:00-07:00,2024-03-21 17:59:59-07:00,0.433,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 17:00:00-07:00,2024-03-21 17:59:59-07:00,0.433,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 18:00:00-07:00,2024-03-21 18:59:59-07:00,0.444,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 18:00:00-07:00,2024-03-21 18:59:59-07:00,0.444,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 18:00:00-07:00,2024-03-21 18:59:59-07:00,0.444,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 19:00:00-07:00,2024-03-21 19:59:59-07:00,0.443,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 19:00:00-07:00,2024-03-21 19:59:59-07:00,0.443,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 19:00:00-07:00,2024-03-21 19:59:59-07:00,0.443,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 20:00:00-07:00,2024-03-21 20:59:59-07:00,0.436,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 20:00:00-07:00,2024-03-21 20:59:59-07:00,0.436,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 20:00:00-07:00,2024-03-21 20:59:59-07:00,0.436,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 21:00:00-07:00,2024-03-21 21:59:59-07:00,0.432,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 21:00:00-07:00,2024-03-21 21:59:59-07:00,0.432,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 21:00:00-07:00,2024-03-21 21:59:59-07:00,0.432,USCA-CFCF-SUDG-0000,SummerGHG
2024-03-21 22:00:00-07:00,2024-03-21 22:59:59-07:00,0.427,USCA-CFCF-SUDG-0000,SummerGHG
